YYYYMM,Country,Fuel,Value,source_url
202103,Albania,PluginHybrid,1.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,BatteryElectric,12.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,Diesel,3187.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,Petrol,693.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,LPG_LPGBlend,523.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,NonPluginHybrid,20.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,PluginHybrid,3.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,BatteryElectric,27.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202104,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,Diesel,3517.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,Petrol,801.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,LPG_LPGBlend,518.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,NonPluginHybrid,14.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,BatteryElectric,12.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202105,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,Diesel,3952.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,Petrol,992.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,LPG_LPGBlend,594.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,NonPluginHybrid,35.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,PluginHybrid,4.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,BatteryElectric,11.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202106,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,Diesel,4497.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,Petrol,974.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,LPG_LPGBlend,536.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,NonPluginHybrid,25.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,PluginHybrid,6.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,BatteryElectric,13.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202107,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,Diesel,4136.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,Petrol,838.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,LPG_LPGBlend,461.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,NonPluginHybrid,16.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,PluginHybrid,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,BatteryElectric,20.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202108,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,Diesel,3355.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,Petrol,700.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,LPG_LPGBlend,380.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,NonPluginHybrid,11.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,PluginHybrid,3.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,BatteryElectric,44.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202109,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,Diesel,3077.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,Petrol,700.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,LPG_LPGBlend,344.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,NonPluginHybrid,22.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,PluginHybrid,4.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,BatteryElectric,22.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202110,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,Diesel,2918.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,Petrol,619.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,LPG_LPGBlend,292.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,NonPluginHybrid,12.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,PluginHybrid,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,BatteryElectric,37.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202111,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,Diesel,4339.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,Petrol,872.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,LPG_LPGBlend,348.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,NonPluginHybrid,25.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,PluginHybrid,6.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,BatteryElectric,25.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202112,Albania,Others,1.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,Diesel,2875.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,Petrol,566.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,LPG_LPGBlend,218.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,NonPluginHybrid,27.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,PluginHybrid,10.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,BatteryElectric,20.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202201,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,Diesel,2727.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,Petrol,542.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,LPG_LPGBlend,223.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,NonPluginHybrid,33.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,PluginHybrid,8.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,BatteryElectric,43.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202202,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,Diesel,2819.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,Petrol,583.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,LPG_LPGBlend,280.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,NonPluginHybrid,40.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,PluginHybrid,16.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,BatteryElectric,45.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202203,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202204,Albania,Diesel,2872.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202204,Albania,Petrol,672.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202204,Albania,LPG_LPGBlend,227.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
