date,retail_total,retail_food_services,retail_ecommerce,retail_building_materials,retail_general_merch,retail_total_mom,retail_total_yoy,year,month
2022-04-01,660194.0,79251.0,247967.0,42862.0,70220.0,1.408082921292042,8.413182453391933,2022,4
2022-05-01,659847.0,80003.0,,42483.0,73582.0,-0.052560308030669134,9.014806321681457,2022,5
2022-06-01,666113.0,80557.0,,42396.0,72052.0,0.9496140772027539,8.850886510335808,2022,6
2022-07-01,659550.0,80283.0,251988.0,42405.0,72291.0,-0.9852682652943257,9.593115515181516,2022,7
2022-08-01,663566.0,82370.0,,42823.0,73219.0,0.608900007580937,9.583788166788597,2022,8
2022-09-01,661854.0,82408.0,,42510.0,69325.0,-0.2579999578037451,8.559206522862329,2022,9
2022-10-01,668671.0,83665.0,252656.0,42724.0,73788.0,1.0299854650723583,8.098963258984782,2022,10
2022-11-01,659458.0,83102.0,,41459.0,77022.0,-1.3778076213863066,5.534555766442506,2022,11
2022-12-01,651763.0,82644.0,,41847.0,90625.0,-1.1668673365096804,5.133577873916417,2022,12
2023-01-01,680253.0,88289.0,262965.0,42941.0,66096.0,4.3712208272025155,7.718654841023653,2023,1
2023-02-01,672152.0,85987.0,,42268.0,64073.0,-1.1908804518318883,5.336302560252992,2023,2
2023-03-01,665071.0,86259.0,,40431.0,69271.0,-1.0534819505111925,2.1572069975592356,2023,3
2023-04-01,670494.0,86620.0,269738.0,40815.0,71791.0,0.8154016638824979,1.5601474718037522,2023,4
2023-05-01,673902.0,87616.0,,41622.0,74494.0,0.5082819533060778,2.1300392363684306,2023,5
2023-06-01,677117.0,88447.0,,40807.0,73136.0,0.4770723339595273,1.6519719627150264,2023,6
2023-07-01,678424.0,89167.0,275176.0,40702.0,73495.0,0.19302424839429122,2.861648093397018,2023,7
2023-08-01,684755.0,89564.0,,40914.0,75253.0,0.933192221973278,3.1932015805511416,2023,8
2023-09-01,689403.0,90447.0,,40631.0,70778.0,0.6787829223591002,4.16239835371548,2023,9
2023-10-01,686148.0,90631.0,276781.0,40338.0,73659.0,-0.47214764078484794,2.613691935196827,2023,10
