date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_shelter,cpi_medical,cpi_transportation,cpi_apparel,core_pce,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_shelter_yoy,cpi_medical_yoy,cpi_transportation_yoy,cpi_apparel_yoy,core_pce_yoy,year,month
2021-06-01,270.654,277.651,275.997,233.603,333.835,523.099,233.169,121.339,108.603,5.295632620349999,4.439362194328367,2.390624478302983,23.773670880710405,2.58431282169469,0.4285163007063275,21.09278436178943,4.9055461894263575,3.8617128102137466,2021,6
2021-07-01,271.903,278.648,277.813,236.488,335.446,524.307,234.485,121.319,109.058,5.245169381309234,4.210719214328185,3.4561988887730433,23.192648698206963,2.8190124720688825,0.31223991964415276,18.85356000587972,4.06859044743344,3.92711817566731,2021,7
2021-08-01,272.676,278.997,279.01,240.692,336.022,524.693,234.588,121.505,109.409,5.152015301793966,3.9396919775577244,3.737772208940471,24.51282157397301,2.8275731221425904,0.33867383663337414,17.311010096463985,3.933040793109055,3.9584580447155737,2021,8
2021-09-01,273.91,279.698,281.366,245.302,337.357,524.874,235.77,121.051,109.641,5.351215590949132,4.002855729865806,4.5803087238842854,24.705523499656845,3.1537137318334407,0.3684885848852737,16.388247141757017,3.3237450600476226,4.013850678303776,2021,9
2021-10-01,276.55,281.668,283.972,254.756,338.948,527.649,241.059,122.57,110.188,6.235042390298062,4.590317334184912,5.310157869558263,29.902658161366148,3.5205438869223338,1.2872809501231375,18.613885745214787,4.619402857679367,4.436672448273571,2021,10
2021-11-01,278.919,283.406,286.151,263.798,340.544,529.542,248.066,123.61,110.77,6.901970403700863,4.972572143965692,6.12492397157649,33.896059730886165,3.8874195014658275,1.7240816263804692,21.389738445352457,5.279743805946624,4.8908669097107005,2021,11
2021-12-01,280.845,285.18,287.812,267.899,341.931,531.045,253.118,124.753,111.418,7.174340285065539,5.488993530393094,6.289584572034235,30.25672193319395,4.178333236852438,2.1503618240084954,21.576783415627588,5.752456195376676,5.2145501246505965,2021,12
2022-01-01,282.543,286.757,290.077,270.189,342.858,534.695,254.579,125.476,111.976,7.558805726967832,6.05428515424189,6.9625177455336695,27.16571751306067,4.359657266349082,2.4649695687501083,20.86435109574993,5.384453869735029,5.35843659732218,2022,1
2022-02-01,284.5,288.273,292.899,275.322,344.705,536.583,257.835,125.997,112.468,7.937278766517819,6.4551151617656455,7.9115777839182,25.579040512310613,4.7340819873360696,2.4648875733995324,21.103877804080696,6.650584052818687,5.602764293293028,2022,2
2022-03-01,287.674,289.056,295.546,303.099,346.396,539.05,266.618,126.443,112.914,8.572204966013853,6.482378554404167,8.80222061876923,32.001985915676975,4.985346131348378,2.8674259194235274,22.599335083758287,6.7173626818811005,5.593221924008485,2022,3
2022-04-01,288.561,290.514,298.339,295.455,348.23,541.376,264.563,126.098,113.307,8.231750770777225,6.158737119052837,9.395889481693342,30.010340806582914,5.139368614284678,3.2244287035359642,19.854939837634088,5.352070313805446,5.345023150300299,2022,4
2022-05-01,291.298,292.063,301.755,309.052,350.204,543.544,269.601,126.693,113.703,8.538171195642065,6.0254478790408905,10.15690025261744,34.45578497655033,5.447877366302234,3.7357100597362303,19.406600999185073,4.883520704670752,5.184136763522318,2022,5
2022-06-01,294.957,294.05,304.834,330.456,352.616,546.741,278.932,127.432,114.376,8.979361103105798,5.906335651591377,10.448301974296825,41.460512065341625,5.625833121152657,4.519603363799196,19.626536975326903,5.021468777557092,5.31569109508947,2022,6
2022-07-01,294.913,295.088,308.193,314.345,354.68,549.846,272.71,127.394,114.628,8.462576727730099,5.899916740834321,10.935413389582195,32.92217786949021,5.733858802907177,4.871001150089538,16.301682410388718,5.007459672433834,5.107374057840786,2022,7
2022-08-01,295.097,296.535,310.794,298.331,357.048,552.902,265.977,127.422,115.276,8.222579178218826,6.286089097732228,11.39170639045195,23.947202233559906,6.257328389212624,5.3762867047969065,13.380479819939639,4.869758446154471,5.362447330658338,2022,8
